ID_A,Destino_A,Actividad_A,Precio_A,Destino_B,Actividad_B,Precio_B,Confianza_Score
9,Valle de Cocora,"Tour privado por Salento, Valle de Cocora y Filandia",$789.000,Manizales,"Excursión privada al Valle de Cocora, Salento y Filandia",2.120.000 COP,8.2845
87,Bogotá,Tour por el Museo del Oro en la ciudad de Bogotá.,$65.000,Bogotá,Visita guiada por el Museo del Oro y el barrio de La Candelaria,171.000 COP,8.0564
86,Bogotá,Tour por Monserrate en la ciudad de Bogotá.,$135.000,Bogotá,Free tour por el cerro de Monserrate,¡Gratis!,8.0463
95,Santa Marta,Tour de 5 días a Ciudad Perdida desde Santa Marta,$2.150.000,Santa Marta,Trekking de 4 o 5 días por la Ciudad Perdida,1.860.000 COP,7.8907
10,Valle de Cocora,"Tour grupal por Salento, Valle de Cocora y Filandia",$578.000,Filandia,Tour por Salento y Valle de Cocora,283.000 COP,7.7641
193,Pereira,Excursión a Salento y Valle de Cocora desde Salento,$200.000,Pereira,"Excursión a Filandia, Salento y Valle de Cocora",576.000 COP,7.6268
139,Zipaquirá,Excursión Grupal a la Catedral de Sal de Zipaquirá desde Bogotá.,$114.000,Bogotá,Excursión a la Catedral de Sal de Zipaquirá + Andrés Carne de Res en Chía,260.000 COP,7.5361
54,Salento,"Tour privado por Salento, Valle de Cocora y Filandia",$789.000,Filandia,Excursión privada al Valle de Cocora + Paseo a caballo,809.800 COP,7.2093
56,Salento,"Tour grupal por Salento, Valle de Cocora y Filandia",$578.000,Salento,Tour por Salento y Valle de Cocora,283.000 COP,7.1858
52,Salento,Excursión a Salento y Valle de Cocora desde Salento,$200.000,Armenia,Excursión a Salento y el Valle de Cocora + Paseo a caballo,390.000 COP,7.1775
202,Villa de Leyva,Tour Guiado al Molino la Primavera y Museo Fósil en Villa de Leyva,$74.000,Villa de Leyva,Excursión al Molino de la Primavera y El Infiernito,120.000 COP,7.1426
27,Medellín,Graffiti Tour Comuna 13 Medellín,$253.000,Medellín,Tour del grafiti por la Comuna 13 + Metrocable de Medellín,120.000 COP,7.1323
166,Manizales,Excursión de un día al Nevado del Ruiz desde Manizales,$350.000,Manizales,Excursión al volcán Nevado del Ruiz,487.880 COP,7.1158
164,Bahía Solano,Tour privado: Avistamiento de Ballenas en Bahía Solano,$2.200.000,Bahía Solano,Avistamiento de ballenas en Bahía Solano,250.000 COP,6.974
8,Valle de Cocora,Excursión a Salento y Valle de Cocora desde Salento,$200.000,Filandia,"Excursión a Filandia, Salento y Valle de Cocora",576.000 COP,6.9549
176,Manizales,Excursión de un día al Nevado Santa Isabel desde Manizales,$400.000,Manizales,Excursión al Nevado de Santa Isabel,546.423 COP,6.9468
92,Bogotá,Excursión a la Laguna de Guatavita y Catedral de Sal de Zipaquirá desde Bogotá.,$300.000,Bogotá,Excursión a la Catedral de Sal de Zipaquirá,179.000 COP,6.9413
16,Riohacha,Tour de Un Día al Cabo de La Vela desde Riohacha,$460.000,Riohacha,Tour de 2 días por Manaure y Cabo de la Vela,975.000 COP,6.9114
94,Santa Marta,Tour de 4 días a Ciudad Perdida desde Santa Marta,$1.860.000,Santa Marta,"Tour de 4 días por Santa Marta, Cabo de la Vela y Riohacha",1.490.000 COP,6.8908
199,Villa de Leyva,Taller de Barro en Ráquira Saliendo de Villa de Leyva,$64.000,Villa de Leyva,Taller de pintura con tierra en Villa de Leyva,80.000 COP,6.8503
101,Cartagena,"Tour Islas del Rosario desde Cartagena: Isla Grande, Cholón, Agua Azul y Playa Tranquila (Barú)",$298.000,Cartagena de Indias,Excursión a las islas del Rosario para adultos,269.787 COP,6.7576
204,Villa de Leyva,"Taller de Barro en Ráquira, Boyacá",$26.000,Villa de Leyva,Taller de artesanía en Ráquira,215.000 COP,6.7532
135,Guatapé,Tour Privado de 1 día a Guatapé desde Medellín,$206.000,Guatapé,Excursión privada a Medellín,867.000 COP,6.6884
97,Santa Marta,Excursión Terrestre al Parque Tayrona: Playa Cristal,$161.000,Santa Marta,Excursión en lancha a las playas del Parque Tayrona en grupo reducido,312.000 COP,6.6829
112,Nemocón,Excursión de 1 día a la Mina Sal de Nemocón desde la ciudad de Bogotá.,$138.000,Bogotá,Excursión a la Mina de Sal de Nemocón + Senderismo por el desierto de Checua,160.000 COP,6.6398
142,Zipaquirá,Excursión de 1 día a la Mina de sal de Nemocón y Catedral de Sal de Zipaquirá desde Bogotá.,$300.000,Zipaquirá,Excursión a la Mina de Sal de Nemocón + Senderismo por el desierto de Checua,160.000 COP,6.6146
