"pais";"destino";"actividad";"url_actividad";"operador";"email";"telefono";"direccion";"descripcion";"precio_real";"opiniones";"viajeros";"rating";"moneda";"fecha_scan"
"Kenia";"Mombasa";"Safari privado por el Parque Nacional de Tsavo East";"https://www.civitatis.com/es/mombasa/safari-tsavo-east/";"Heels And Valise Tours";"heelsandvalise@gmail.com";"+254716 303 121";"Heels and Valise Tours | Standard Street, Nairobi, Kenia";"";"514164.54";"3";"22";"9.3";"CLP";"2026-02-16"
"Kenia";"Mombasa";"Tour por la Ciudad Vieja y el Fuerte Jesús";"https://www.civitatis.com/es/mombasa/tour-ciudad-vieja-fuerte-jesus/";"John David Mwangi Irungu";"shanzutours@gmail.com";"0702148164";"John David Mwangi Irungu | Fort Jesus, Mombasa, Kenia";"";"40951.15";"2";"9";"10.0";"CLP";"2026-02-16"
"Kenia";"Mombasa";"Tour gastronómico por Mombasa";"https://www.civitatis.com/es/mombasa/tour-gastronomico-mombasa/";"John David Mwangi Irungu";"shanzutours@gmail.com";"0702148164";"John David Mwangi Irungu | Fort Jesus, Mombasa, Kenia";"";"35491.0";"0";"0";"0.0";"CLP";"2026-02-16"
"Kenia";"Mombasa";"Safari de 6 días por Amboseli, Tsavo East y Tsavo West";"https://www.civitatis.com/es/mombasa/6-dias-amboseli-tsavo-east-west/";"Direct Kenya Safaris";"info@directkenyasafaris.com";"0703303739";"DKenya Tours and Safaris | Airport north road, 2nd floor southfield mall, Nairobi, Kenia";"";"1512462.79";"0";"2";"0.0";"CLP";"2026-02-16"
"Kenia";"Mombasa";"Traslados en Mombasa";"https://www.civitatis.com/es/mombasa/traslados/";"No especificado / Único";"N/A";"N/A";"N/A";"";"21840.61";"15";"600";"5.1";"CLP";"2026-02-16"
"Kenia";"Nairobi";"Safari de 4 días por Masái Mara y el lago Nakuru";"https://www.civitatis.com/es/nairobi/safari-masai-mara-lago-nakuru/";"Perfect Safaris";"info@perfectsafarisafrica.com";"+254723441764";"Perfect Safaris | Suraya Loneview Estate, House number B29, Nairobi, Kenia";"";"284383.04";"5";"82";"8.8";"CLP";"2026-02-16"
"Kenia";"Nairobi";"Free tour por Nairobi";"https://www.civitatis.com/es/nairobi/free-tour-nairobi/";"Joynduta";"joynduta16@gmail.com";"+254790650129";"Joyce Nduta Wambui | Limuru District, 00217, Nairobi, Kenia";"";"0.0";"119";"1382";"8.7";"CLP";"2026-02-16"
"Kenia";"Nairobi";"Cena en el restaurante The Carnivore";"https://www.civitatis.com/es/nairobi/cena-restaurante-carnivore/";"Kaaribu Experiences";"travelbookingsoffice@gmail.com";"+254732905343";"Hospitality Group East Africa Limited | Mombasa Road | Ramco Courts , Nairobi, Kenia";"";"77352.18";"4";"156";"7.0";"CLP";"2026-02-16"
"Kenia";"Nairobi";"Safari de 5 días por Masái Mara, Lago Nakuru y Parque Nacional Aberdare";"https://www.civitatis.com/es/nairobi/safari-masai-mara-nakuru-aberdare/";"Direct Kenya Safaris";"info@directkenyasafaris.com";"0703303739";"DKenya Tours and Safaris | Airport north road, 2nd floor southfield mall, Nairobi, Kenia";"";"1437622.27";"7";"79";"8.9";"CLP";"2026-02-16"
"Kenia";"Nairobi";"Visita guiada por Nairobi";"https://www.civitatis.com/es/nairobi/visita-guiada-nairobi/";"Heels And Valise Tours";"heelsandvalise@gmail.com";"+254716 303 121";"Heels and Valise Tours | Standard Street, Nairobi, Kenia";"";"40951.15";"12";"112";"8.5";"CLP";"2026-02-16"
"Kenia";"Nairobi";"Excursión al Giraffe Centre";"https://www.civitatis.com/es/nairobi/excursion-giraffe-centre/";"Direct Kenya Safaris";"info@directkenyasafaris.com";"0703303739";"DKenya Tours and Safaris | Airport north road, 2nd floor southfield mall, Nairobi, Kenia";"";"47321.33";"4";"108";"7.5";"CLP";"2026-02-16"
"Kenia";"Nairobi";"Traslados en Nairobi";"https://www.civitatis.com/es/nairobi/traslados/";"No especificado / Único";"N/A";"N/A";"N/A";"";"34125.96";"19";"633";"8.4";"CLP";"2026-02-16"
"Kenia";"Nairobi";"Safari de 7 días por Masái Mara, Amboseli, Hell's Gate y Lago Nakuru";"https://www.civitatis.com/es/nairobi/safari-masai-mara-amboseli-nakuru/";"Direct Kenya Safaris";"info@directkenyasafaris.com";"0703303739";"DKenya Tours and Safaris | Airport north road, 2nd floor southfield mall, Nairobi, Kenia";"";"1852839.72";"5";"84";"8.4";"CLP";"2026-02-16"
"Kenia";"Nairobi";"Safari privado de 2 o 3 días por la Reserva Nacional de Samburu";"https://www.civitatis.com/es/nairobi/safari-privado-samburu/";"Heels And Valise Tours";"heelsandvalise@gmail.com";"+254716 303 121";"Heels and Valise Tours | Standard Street, Nairobi, Kenia";"";"1032879.22";"1";"8";"8.0";"CLP";"2026-02-16"
"Kenia";"Nairobi";"Safari privado de 2 días por Masái Mara";"https://www.civitatis.com/es/nairobi/safari-2-dias-masai-mara/";"Heels And Valise Tours";"heelsandvalise@gmail.com";"+254716 303 121";"Heels and Valise Tours | Standard Street, Nairobi, Kenia";"";"1164832.95";"1";"152";"10.0";"CLP";"2026-02-16"
"Kenia";"Nairobi";"Safari de 3 días por Masái Mara";"https://www.civitatis.com/es/nairobi/safari-3-dias-masai-mara/";"Heels And Valise Tours";"heelsandvalise@gmail.com";"+254716 303 121";"Heels and Valise Tours | Standard Street, Nairobi, Kenia";"";"1268348.38";"8";"146";"7.8";"CLP";"2026-02-16"
"Kenia";"Nairobi";"Safari de 6 días por Masái Mara, Amboseli y lago Naivasha";"https://www.civitatis.com/es/nairobi/6-dias-masai-mara-amboseli-naivasha/";"Heels And Valise Tours";"heelsandvalise@gmail.com";"+254716 303 121";"Heels and Valise Tours | Standard Street, Nairobi, Kenia";"";"2488920.41";"2";"59";"8.0";"CLP";"2026-02-16"
"Kenia";"Nairobi";"Excursión privada al Monte Longonot y el Lago Naivasha";"https://www.civitatis.com/es/nairobi/excursion-monte-longonot-lago-naivasha/";"Zazu Safari Venture";"info@zazuventure.com";"0723794 090";"JOEL MUGO MWANIK | Langata District, Nairobi, Kenia";"";"192561.44";"0";"12";"0.0";"CLP";"2026-02-16"
"Kenia";"Nairobi";"Safari privado de 2 días por el Parque Nacional de Amboseli";"https://www.civitatis.com/es/nairobi/safari-privado-amboseli/";"Heels And Valise Tours";"heelsandvalise@gmail.com";"+254716 303 121";"Heels and Valise Tours | Standard Street, Nairobi, Kenia";"";"878174.84";"1";"10";"8.0";"CLP";"2026-02-16"
"Kenia";"Nairobi";"Tour gastronómico por Nairobi";"https://www.civitatis.com/es/nairobi/tour-gastronomico-nairobi/";"Heels And Valise Tours";"heelsandvalise@gmail.com";"+254716 303 121";"Heels and Valise Tours | Standard Street, Nairobi, Kenia";"";"68251.93";"2";"6";"10.0";"CLP";"2026-02-16"
"Kenia";"Nairobi";"Safari privado de 3 días por el Parque Nacional de Amboseli";"https://www.civitatis.com/es/nairobi/safari-3-dias-amboseli/";"Heels And Valise Tours";"heelsandvalise@gmail.com";"+254716 303 121";"Heels and Valise Tours | Standard Street, Nairobi, Kenia";"";"1428740.42";"0";"8";"0.0";"CLP";"2026-02-16"
"Kenia";"Nairobi";"Safari privado de 6 días por Masái Mara, Amboseli y el lago Naivasha";"https://www.civitatis.com/es/nairobi/safari-privado-masai-mara-amboseli-naivasha/";"Heels And Valise Tours";"heelsandvalise@gmail.com";"+254716 303 121";"Heels and Valise Tours | Standard Street, Nairobi, Kenia";"";"4277121.01";"0";"4";"0.0";"CLP";"2026-02-16"
"Kenia";"Nairobi";"Safari privado por el Parque Nacional de Amboseli";"https://www.civitatis.com/es/nairobi/safari-amboseli/";"Kaaribu Experiences";"travelbookingsoffice@gmail.com";"+254732905343";"Hospitality Group East Africa Limited | Mombasa Road | Ramco Courts , Nairobi, Kenia";"";"589696.68";"0";"33";"0.0";"CLP";"2026-02-16"
"Kenia";"Nairobi";"Safari de 2 días por el Parque Nacional de Amboseli";"https://www.civitatis.com/es/nairobi/safari-2-dias-amboseli/";"Perfect Safaris";"info@perfectsafarisafrica.com";"+254723441764";"Perfect Safaris | Suraya Loneview Estate, House number B29, Nairobi, Kenia";"";"568766.09";"0";"5";"0.0";"CLP";"2026-02-16"
"Kenia";"Nairobi";"Excursión privada de 2 días al Lago Bogoria";"https://www.civitatis.com/es/nairobi/excursion-2-dias-lago-bogoria/";"Zazu Safari Venture";"info@zazuventure.com";"0723794 090";"JOEL MUGO MWANIK | Langata District, Nairobi, Kenia";"";"875444.76";"0";"0";"0.0";"CLP";"2026-02-16"
"Kenia";"Nairobi";"Ruta privada de trekking por el Monte Kenia";"https://www.civitatis.com/es/nairobi/trekking-monte-kenia/";"Zazu Safari Venture";"info@zazuventure.com";"0723794 090";"JOEL MUGO MWANIK | Langata District, Nairobi, Kenia";"";"307497.69";"0";"0";"0.0";"CLP";"2026-02-16"
"Kenia";"Nairobi";"Ruta privada de trekking por las colinas Ngong";"https://www.civitatis.com/es/nairobi/trekking-colinas-ngong/";"Zazu Safari Venture";"info@zazuventure.com";"0723794 090";"JOEL MUGO MWANIK | Langata District, Nairobi, Kenia";"";"129223.65";"0";"0";"0.0";"CLP";"2026-02-16"
"Kenia";"Nairobi";"Tour privado de 9 días por el norte de Kenia";"https://www.civitatis.com/es/nairobi/tour-9-dias-norte-kenia/";"Explore Safaris By Tufayn Ltd";"tufayn@explore-safaris.com";"+254722963555";"Explore Safaris | Ole Sereni Road, Nairobi, Kenia";"";"9027455.41";"0";"0";"0.0";"CLP";"2026-02-16"
"Kenia";"Masái Mara";"Paseo en globo por Masái Mara";"https://www.civitatis.com/es/masai-mara/paseo-globo-masai-mara/";"Direct Kenya Safaris";"info@directkenyasafaris.com";"0703303739";"DKenya Tours and Safaris | Airport north road, 2nd floor southfield mall, Nairobi, Kenia";"";"445002.59";"6";"91";"8.7";"CLP";"2026-02-16"
"Kenia";"Diani";"Paseo en barco con fondo de cristal por Diani";"https://www.civitatis.com/es/diani/paseo-barco-fondo-cristal/";"Kaaribu Experiences";"travelbookingsoffice@gmail.com";"+254732905343";"Hospitality Group East Africa Limited | Mombasa Road | Ramco Courts , Nairobi, Kenia";"";"22750.64";"2";"36";"10.0";"CLP";"2026-02-16"
"Kenia";"Diani";"Tour por el bosque Kaya Kinondo";"https://www.civitatis.com/es/diani/tour-bosque-kaya-kinondo/";"Kaaribu Experiences";"travelbookingsoffice@gmail.com";"+254732905343";"Hospitality Group East Africa Limited | Mombasa Road | Ramco Courts , Nairobi, Kenia";"";"35491.0";"0";"12";"0.0";"CLP";"2026-02-16"
"Kenia";"Diani";"Tour en bicicleta por Diani";"https://www.civitatis.com/es/diani/tour-bicicleta-diani/";"Kaaribu Experiences";"travelbookingsoffice@gmail.com";"+254732905343";"Hospitality Group East Africa Limited | Mombasa Road | Ramco Courts , Nairobi, Kenia";"";"51871.46";"0";"7";"0.0";"CLP";"2026-02-16"
"Kenia";"Diani";"Paseo en canoa por el río Congo al atardecer";"https://www.civitatis.com/es/diani/paseo-canoa-rio-congo-atardecer/";"Kaaribu Experiences";"travelbookingsoffice@gmail.com";"+254732905343";"Hospitality Group East Africa Limited | Mombasa Road | Ramco Courts , Nairobi, Kenia";"";"34125.96";"0";"12";"0.0";"CLP";"2026-02-16"
"Kenia";"Diani";"Tour gastronómico por Diani + Visita al mercado Ibiza";"https://www.civitatis.com/es/diani/tour-gastronomico-diani-mercado-ibiza/";"Kaaribu Experiences";"travelbookingsoffice@gmail.com";"+254732905343";"Hospitality Group East Africa Limited | Mombasa Road | Ramco Courts , Nairobi, Kenia";"";"18200.51";"0";"0";"0.0";"CLP";"2026-02-16"
"Kenia";"Diani";"Safari privado por el Parque Nacional de Tsavo East";"https://www.civitatis.com/es/diani/safari-tsavo-east/";"Heels And Valise Tours";"heelsandvalise@gmail.com";"+254716 303 121";"Heels and Valise Tours | Standard Street, Nairobi, Kenia";"";"532365.06";"0";"4";"0.0";"CLP";"2026-02-16"
"Kenia";"Diani";"Traslados en Diani";"https://www.civitatis.com/es/diani/traslados/";"No especificado / Único";"N/A";"N/A";"N/A";"";"21840.61";"15";"600";"5.1";"CLP";"2026-02-16"
"Kenia";"Diani";"Excursión a la isla Funzi";"https://www.civitatis.com/es/diani/excursion-isla-funzi/";"Kaaribu Experiences";"travelbookingsoffice@gmail.com";"+254732905343";"Hospitality Group East Africa Limited | Mombasa Road | Ramco Courts , Nairobi, Kenia";"";"100102.83";"0";"1";"0.0";"CLP";"2026-02-16"
"Kenia";"Diani";"Avistamiento de delfines en el Parque Nacional Marino Kisite";"https://www.civitatis.com/es/diani/avistamiento-delfines-kisite/";"Diani Summer Tours And Safaris";"info@dianisummertours.com";"+254117288397";"Diani Summer Tours and Safaris | Diani Beach Road, Diani Shopping Mall, Diani, Kenia";"";"88542.11";"0";"63";"0.0";"CLP";"2026-02-16"
